split_name,id,query,pred_tool,pred_args,raw_output,tool_n,tool_tool_acc,tool_arg_em,tool_exec_success,tool_joint,tools,gold_call
train_100,59,Find the ZIP code of an IP address '1.1.1.1'.,get_ip_zipcode,"{""ip"": ""1.1.1.1""}","{""tool"":""get_ip_zipcode"",""arguments"":{""ip"":""1.1.1.1""}}",2,0.5,1.0,1.0,0.5,,"{""name"": ""get_ip_zipcode"", ""arguments"": {""ip"": ""1.1.1.1""}}"
train_100,73,"Is the Queens Hotel in Berlin available for check-in on March 12, 2022 and check-out on March 16, 2022?",is_hotel_available,"{""hotel"": ""Queens Hotel"", ""city"": ""Berlin"", ""checkin"": ""2022-03-12"", ""checkout"": ""2022-03-16""}","{""tool"":""is_hotel_available"",""arguments"":{""hotel"":""Queens Hotel"",""city"":""Berlin"",""checkin"":""2022-03-12"",""checkout"":""2022-03-16""}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""is_hotel_available"", ""arguments"": {""hotel"": ""Queens Hotel"", ""city"": ""Berlin, Germany"", ""checkin"": ""2022-03-12"", ""checkout"": ""2022-03-16""}}"
train_100,74,Locate the IP address 192.168.0.1 on the map and find its ZIP code.,get_ip_zipcode,"{""ip"": ""192.168.0.1""}","{""tool"":""get_ip_zipcode"",""arguments"":{""ip"":""192.168.0.1""}}",2,0.5,1.0,1.0,0.5,,"{""name"": ""get_ip_location"", ""arguments"": {""ip"": ""192.168.0.1""}}"
train_100,75,"Calculate the investment growth for an initial investment of $1000, annual addition of $500, for 10 years, with a return rate of 7% and an annual inflation rate of 2%.",project_investment_growth,"{""principal"": 1000.0, ""annual_addition"": 500.0, ""years"": 10, ""return_rate"": 0.07, ""inflation"": [0.02], ""inflation_adjusted"": true}","{""tool"":""project_investment_growth"",""arguments"":{""principal"":1000.0,""annual_addition"":500.0,""years"":10,""return_rate"":0.07,""inflation"":[0.02],""inflation_adjusted"":true}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""project_investment_growth"", ""arguments"": {""principal"": 1000, ""annual_addition"": 500, ""years"": 10, ""return_rate"": 0.07, ""inflation"": ""[0.02] * 10""}}"
train_100,82,Fetch order details for the last three orders placed on the grocery delivery app.,get_order,"{""is_id"": """"}","{""tool"":""get_order"",""arguments"":{""is_id"":""""}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""get_order"", ""arguments"": {""is_id"": ""40001""}}"
train_100,86,"I'm thinking of investing $7,500 for 8 years. If the bank offers me a 2.25% interest rate, how much money will I have at the end of this period?",calculate_investment_return,"{""initial_amount"": 7500, ""interest_rate"": 2.25, ""num_years"": 8}","{""tool"":""calculate_investment_return"",""arguments"":{""initial_amount"":7500,""interest_rate"":2.25,""num_years"":8}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""calculate_investment_return"", ""arguments"": {""initial_amount"": 7500, ""interest_rate"": 0.0225, ""num_years"": 8}}"
train_100,88,What moves can Charmander learn?,get_pokemon_move_info,"{""pokemon_name"": ""charmander""}","{""tool"":""get_pokemon_move_info"",""arguments"":{""pokemon_name"":""charmander""}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""get_pokemon_move_info"", ""arguments"": {""pokemon_name"": ""charmander"", ""move_name"": ""run""}}"
train_100,90,Can you list the repositories for the GitHub user 'pjhyett'?,search,"{""user"": ""pjhyett""}","{""tool"":""search"",""arguments"":{""user"":""pjhyett""}}",2,1.0,0.5,1.0,0.5,,"{""name"": ""search"", ""arguments"": {""user"": ""pjhyett""}}"
train_100,91,"Determine if the years 2000, 2004, and 2022 are leap years, and then find the DNA sequence for sequence ID 'NM_000520' in FASTA format with 100 upstream bases.",get_dna_sequence,"{""sequence_id"": ""NM_000520"", ""file_format"": ""fasta"", ""upstream_bases"": 100}","{""tool"":""get_dna_sequence"",""arguments"":{""sequence_id"":""NM_000520"",""file_format"":""fasta"",""upstream_bases"":100}}",1,0.0,0.0,1.0,0.0,,"{""name"": ""is_leap_year"", ""arguments"": {""year"": 2000}}"
train_100,92,What is the probability of rolling a sum of 7 with 2 six-sided dice?,dice_roll_probability,"{""target_sum"": 7, ""num_dice"": 2, ""num_faces"": 6}","{""tool"":""dice_roll_probability"",""arguments"":{""target_sum"":7,""num_dice"":2,""num_faces"":6}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""dice_roll_probability"", ""arguments"": {""target_sum"": 7, ""num_dice"": 2}}"
train_200,9,"I want to see reviews for the Sony WH-1000XM4 headphones, but only those with a rating of 4 or higher.",product_reviews,"{""product_id"": ""Sony WH-1000XM4"", ""country"": ""us"", ""language"": ""en"", ""rating"": ""4"", ""limit"": ""100""}","{""tool"":""product_reviews"",""arguments"":{""product_id"":""Sony WH-1000XM4"",""country"":""us"",""language"":""en"",""rating"":""4"",""limit"":""100""}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""product_reviews"", ""arguments"": {""product_id"": ""B08275Y13Z"", ""rating"": ""4""}}"
train_200,11,Please find me the top-rated smartwatches in Canada and also search for on-sale fitness trackers in Australia.,search,"{""q"": ""smartwatches"", ""min_rating"": ""4"", ""country"": ""ca"", ""sort_by"": ""TOP_RATED""}","{""tool"":""search"",""arguments"":{""q"":""smartwatches"",""min_rating"":""4"",""country"":""ca"",""sort_by"":""TOP_RATED""}}",3,1.0,0.3333333333333333,1.0,0.3333333333333333,,"{""name"": ""search"", ""arguments"": {""q"": ""smartwatches"", ""sort_by"": ""TOP_RATED"", ""country"": ""ca"", ""language"": ""en""}}"
train_200,14,Search for images related to the category 'bikini' and a pornstar named 'Lisa Ann'.,search_for_any_category_or_star,"{""search"": ""bikini, Lisa Ann""}","{""tool"":""search_for_any_category_or_star"",""arguments"":{""search"":""bikini, Lisa Ann""}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""search_for_any_category_or_star"", ""arguments"": {""search"": ""bikini""}}"
train_200,17,Retrieve health news from the UK and news from Ada.lk.,get_news_from_one_news_source,"{""page"": 1, ""source"": ""Ada.lk""}","{""tool"":""get_news_from_one_news_source"",""arguments"":{""page"":1,""source"":""Ada.lk""}}",1,0.0,0.0,1.0,0.0,,"{""name"": ""top_headlines"", ""arguments"": {""category"": ""health"", ""country"": ""gb""}}"
train_200,22,"Retrieve the Billboard Hot 100 chart for July 4, 2023, and another for the top 20 songs on that date.",billboard_hot_100,"{""date"": ""2023-07-04"", ""range"": ""1-20""}","{""tool"":""billboard_hot_100"",""arguments"":{""date"":""2023-07-04"",""range"":""1-20""}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""billboard_hot_100"", ""arguments"": {""date"": ""2023-07-04""}}"
train_200,25,Can you provide the albums of Taylor Swift from her Spotify page?,get_artist_s_albums,"{""spotify_url"": ""https://open.spotify.com/artist/1nIUhcKHnK6iyumRyoV68C""}","{""tool"":""get_artist_s_albums"",""arguments"":{""spotify_url"":""https://open.spotify.com/artist/1nIUhcKHnK6iyumRyoV68C""}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""get_artist_s_albums"", ""arguments"": {""spotify_url"": ""https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02""}}"
train_200,27,"What are the coordinates of Paris, France?",geocode_city,"{""city"": ""Paris, France""}","{""tool"":""geocode_city"",""arguments"":{""city"":""Paris, France""}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""geocode_city"", ""arguments"": {""city"": ""Paris""}}"
train_200,29,"List the regions in Europe and Asia, each with a maximum of 30 results per page.",get_regions,"{""keyword"": ""europe"", ""perpage"": 30, ""is_id"": """", ""page"": 1}","{""tool"":""get_regions"",""arguments"":{""keyword"":""europe"",""perpage"":30,""is_id"":"""",""page"":1}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""get_regions"", ""arguments"": {""keyword"": ""europe"", ""perpage"": 30}}"
train_200,30,I need to know the fixtures for the LPGA Tour in the 2023 season and the Asian Tour in the 2020 season. Could you use the fixtures function to retrieve this information?,fixtures,"{""tour_id"": 2, ""season_id"": 2021}","{""tool"":""fixtures"",""arguments"":{""tour_id"":2,""season_id"":2021}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""fixtures"", ""arguments"": {""tour_id"": 3, ""season_id"": 2023}}"
train_200,33,Translate '你好，最近怎么样？' from Chinese to English and then get a voice response in a male anime character's voice.,translate,"{""text"": ""你好，最近怎么样？"", ""target"": ""en"", ""source"": ""auto""}","{""tool"":""translate"",""arguments"":{""text"":""你好，最近怎么样？"",""target"":""en"",""source"":""auto""}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""translate"", ""arguments"": {""text"": ""你好，最近怎么样？"", ""target"": ""en""}}"
train_200,35,What is the current rate of rhodium compared to the Japanese Yen?,latest_rates,"{""symbols"": ""RH"", ""base"": ""JPY""}","{""tool"":""latest_rates"",""arguments"":{""symbols"":""RH"",""base"":""JPY""}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""latest_rates"", ""arguments"": {""symbols"": ""XRH"", ""base"": ""JPY""}}"
train_200,44,"Search for companies in 'healthcare,biotech' and get case details for 'case999'.",search,"{""terms"": ""healthcare,biotech"", ""page"": ""0""}","{""tool"":""search"",""arguments"":{""terms"":""healthcare,biotech"",""page"":""0""}}",3,1.0,0.3333333333333333,1.0,0.3333333333333333,,"{""name"": ""search"", ""arguments"": {""terms"": ""healthcare,biotech""}}"
train_200,46,Simulate querying a database for users who are active and have a role of 'admin' in the 'users' table.,simulate_query_database,"{""table"": ""users"", ""conditions"": [{""field"": ""active"", ""operator"": ""="", ""value"": true}, {""field"": ""role"", ""operator"": ""="", ""value"": ""admin""}]}","{""tool"":""simulate_query_database"",""arguments"":{""table"":""users"",""conditions"":[{""field"":""active"",""operator"":""="",""value"":true},{""field"":""role"",""operator"":""="",""value"":""admin""}]}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""simulate_query_database"", ""arguments"": {""table"": ""users"", ""conditions"": [{""role"": ""admin""}, {""status"": ""active""}]}}"
train_200,54,Determine the 95% confidence interval for a sample mean of 50 with a standard deviation of 10 and a sample size of 100.,mean_confidence_interval,"{""std_dev"": 10, ""sample_size"": 100, ""mean"": 50, ""confidence"": 0.95}","{""tool"":""mean_confidence_interval"",""arguments"":{""std_dev"":10,""sample_size"":100,""mean"":50,""confidence"":0.95}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""mean_confidence_interval"", ""arguments"": {""std_dev"": 10, ""sample_size"": 100, ""mean"": 50}}"
train_200,67,"Determine the distance between the points (-1,-1) and (1,1).",euclidean_distance,"{""point_a"": {""x"": -1, ""y"": -1}, ""point_b"": {""x"": 1, ""y"": 1}}","{""tool"":""euclidean_distance"",""arguments"":{""point_a"":{""x"":-1,""y"":-1},""point_b"":{""x"":1,""y"":1}}}",2,0.5,0.0,1.0,0.0,,"{""name"": ""euclidean_distance"", ""arguments"": {""point_a"": [-1, -1], ""point_b"": [1, 1]}}"
train_200,70,Get directions from New York to Los Angeles in kilometers.,directions_between_2_locations,"{""start_lon"": -74, ""end_lon"": -118, ""end_lat"": 34, ""start_lat"": 40, ""distance_unit"": ""km""}","{""tool"":""directions_between_2_locations"",""arguments"":{""start_lon"":-74,""end_lon"":-118,""end_lat"":34,""start_lat"":40,""distance_unit"":""km""}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""directions_between_2_locations"", ""arguments"": {""start_lon"": -73, ""end_lon"": -118, ""end_lat"": 34, ""start_lat"": 40, ""distance_unit"": ""km""}}"
train_200,73,Fetch the local time in Beijing and the weather alerts for zone ID 'CHN001'.,alerts_active_zone_zoneid,"{""zoneid"": ""CHN001""}","{""tool"":""alerts_active_zone_zoneid"",""arguments"":{""zoneid"":""CHN001""}}",1,0.0,0.0,1.0,0.0,,"{""name"": ""time_zone_api"", ""arguments"": {""q"": ""Beijing""}}"
train_200,77,"Calculate the distance between New York City (40.7128° N, 74.0060° W) and Los Angeles (34.0522° N, 118.2437° W) in miles.",measure_distance,"{""lon2"": -118, ""lat1"": 40, ""lon1"": -74, ""lat2"": 34, ""unit"": ""mi""}","{""tool"":""measure_distance"",""arguments"":{""lon2"":-118,""lat1"":40,""lon1"":-74,""lat2"":34,""unit"":""mi""}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""measure_distance"", ""arguments"": {""lon2"": -74, ""lat1"": 40, ""lon1"": -118, ""lat2"": 34, ""unit"": ""mi""}}"
train_200,78,Compute the area under the curve of the function '3x^2 + 2x - 1' from x=0 to x=3 using the trapezoid method.,integrate,"{""function"": ""3x^2 + 2x - 1"", ""start_x"": 0, ""end_x"": 3, ""method"": ""trapezoid""}","{""tool"":""integrate"",""arguments"":{""function"":""3x^2 + 2x - 1"",""start_x"":0,""end_x"":3,""method"":""trapezoid""}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""integrate"", ""arguments"": {""function"": ""3*x**2 + 2*x - 1"", ""start_x"": 0, ""end_x"": 3, ""method"": ""trapezoid""}}"
train_200,79,Estimate the derivative of the function f(x) = x^2 at x = 3 using numerical methods.,numerical_derivative,"{""function"": ""lambda x: x**2"", ""x"": 3}","{""tool"":""numerical_derivative"",""arguments"":{""function"":""lambda x: x**2"",""x"":3}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""numerical_derivative"", ""arguments"": {""function"": ""lambda x: x ** 2"", ""x"": 3}}"
train_200,80,"Predict the y-value for x=7 using a linear regression model trained on points (4,4), (5,5), (6,6).",linear_regression_prediction,"{""x_values"": [4.0, 5.0, 6.0], ""y_values"": [4.0, 5.0, 6.0], ""target_x"": 7.0}","{""tool"":""linear_regression_prediction"",""arguments"":{""x_values"":[4.0,5.0,6.0],""y_values"":[4.0,5.0,6.0],""target_x"":7.0}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""linear_regression_prediction"", ""arguments"": {""x_values"": [4, 5, 6], ""y_values"": [4, 5, 6], ""target_x"": 7}}"
train_200,89,"Can you find the peak element in the list [1, 3, 2, 7, 5, 9] and calculate how long it takes for light to travel 5 light years?",light_travel_time,"{""distance_in_light_years"": 5, ""speed_of_light"": 299792458}","{""tool"":""light_travel_time"",""arguments"":{""distance_in_light_years"":5,""speed_of_light"":299792458}}",1,0.0,0.0,1.0,0.0,,"{""name"": ""find_peak_element"", ""arguments"": {""nums"": [1, 3, 2, 7, 5, 9]}}"
train_200,92,Can you fetch reviews for the product with SPU 'm22022854841' and list categories starting from ID 214970?,products_get_reviews,"{""goods_spu"": ""m22022854841"", ""cat_id"": ""214970""}","{""tool"":""products_get_reviews"",""arguments"":{""goods_spu"":""m22022854841"",""cat_id"":""214970""}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""products_get_reviews"", ""arguments"": {""goods_spu"": ""m22022854841"", ""cat_id"": ""1727"", ""sku"": ""rm2202285484176751"", ""currency"": ""USD"", ""goods_id"": ""10196865"", ""language"": ""en"", ""country"": ""US""}}"
train_200,96,Please provide the details of a product with EAN 9780132130800 in the US and also the country details for Canada.,details,"{""is_id"": ""9780132130800"", ""country"": ""US"", ""longitude"": ""-122.49493"", ""latitude"": ""37.777805""}","{""tool"":""details"",""arguments"":{""is_id"":""9780132130800"",""country"":""US"",""longitude"":""-122.49493"",""latitude"":""37.777805""}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""details"", ""arguments"": {""is_id"": ""9780132130800"", ""country"": ""US""}}"
train_200,99,Can you fetch the property details for a house with Zillow Property ID 20485700?,property_details,"{""zpid"": 20485700, ""property_url"": ""https://www.zillow.com/homedetails/101-California-Ave-UNIT-303-Santa-Monica-CA-90403/20485700_zpid/""}","{""tool"":""property_details"",""arguments"":{""zpid"":20485700,""property_url"":""https://www.zillow.com/homedetails/101-California-Ave-UNIT-303-Santa-Monica-CA-90403/20485700_zpid/""}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""property_details"", ""arguments"": {""zpid"": 20485700}}"
train_200,110,"What is the DNA sequence for the sequence with ID 'AB000001' in FASTA format, including up to 100 bases upstream of the sequence?",get_dna_sequence,"{""sequence_id"": ""AB000001"", ""file_format"": ""fasta"", ""upstream_bases"": 100}","{""tool"":""get_dna_sequence"",""arguments"":{""sequence_id"":""AB000001"",""file_format"":""fasta"",""upstream_bases"":100}}",2,0.5,0.5,1.0,0.5,,"{""name"": ""get_dna_sequence"", ""arguments"": {""sequence_id"": ""AB000001"", ""file_format"": ""fasta"", ""upstream_bases"": 100}}"
train_200,121,"Find the longest palindromic substring in the string 'level' and calculate the Euclidean distance between points A(1, 1) and B(1, 1).",euclidean_distance,"{""point_a"": [1, 1], ""point_b"": [1, 1]}","{""tool"":""euclidean_distance"",""arguments"":{""point_a"":[1,1],""point_b"":[1,1]}}",2,0.5,0.0,1.0,0.0,,"{""name"": ""expand_around_center"", ""arguments"": {""s"": ""level"", ""left"": 0, ""right"": 0}}"
train_200,129,Calculate the area of a triangle with a base of 5 units and a height of 7 units.,triangle_area,"{""base"": 5.0, ""height"": 7.0}","{""tool"":""triangle_area"",""arguments"":{""base"":5.0,""height"":7.0}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""triangle_area"", ""arguments"": {""base"": 5, ""height"": 7}}"
train_200,130,"What are the trending topics related to 'blockchain'? Also, find suggestions for the search query 'cryptocurrency'.",search_suggestions,"{""query"": ""cryptocurrency"", ""twttr_session"": """", ""twttr_proxy"": """", ""cursor"": """"}","{""tool"":""search_suggestions"",""arguments"":{""query"":""cryptocurrency"",""twttr_session"":"""",""twttr_proxy"":"""",""cursor"":""""}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""search_suggestions"", ""arguments"": {""query"": ""blockchain""}}"
train_200,131,Find the ZIP code of an IP address '1.1.1.1'.,get_ip_zipcode,"{""ip"": ""1.1.1.1""}","{""tool"":""get_ip_zipcode"",""arguments"":{""ip"":""1.1.1.1""}}",2,0.5,1.0,1.0,0.5,,"{""name"": ""get_ip_zipcode"", ""arguments"": {""ip"": ""1.1.1.1""}}"
train_200,148,"Convert the date '01-01-2022' from 'DD-MM-YYYY' format to 'Month DD, YYYY' format.",format_date,"{""date"": ""01-01-2022"", ""input_format"": ""DD-MM-YYYY"", ""output_format"": ""Month DD, YYYY""}","{""tool"":""format_date"",""arguments"":{""date"":""01-01-2022"",""input_format"":""DD-MM-YYYY"",""output_format"":""Month DD, YYYY""}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""format_date"", ""arguments"": {""date"": ""01-01-2022"", ""input_format"": ""%d-%m-%Y"", ""output_format"": ""%B %d, %Y""}}"
train_200,149,Search for the top 10 recipes for vegetarian pasta and find information about the postal code '10001' using the Postali API.,web_search,"{""q"": ""top 10 vegetarian pasta recipes"", ""num"": 10}","{""tool"":""web_search"",""arguments"":{""q"":""top 10 vegetarian pasta recipes"",""num"":10}}",1,1.0,0.0,1.0,0.0,,"{""name"": ""web_search"", ""arguments"": {""query"": ""top 10 recipes for vegetarian pasta"", ""related_keywords"": null, ""limit"": 10}}"
